config_id,instance_reduction_method,metric,k,vote,retention,fold_id,num_folds,n_train,n_test,fit_time_s,predict_time_s,total_time_s,memory_before_ir,memory_after_ir,memory_after_training,percentage_memory_reduction,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix_json
ir_k_ibl-CNN,CNN,cosine,7,borda,always_retain,0,10,43958,4884,2647.9186780000455,24.493470799992792,2672.4121488000383,36.55564880371094,16.160614013671875,20.184906005859375,55.79174616637816,0.7555282555282555,0.6620096633135264,0.6575617079626558,0.659673258090812,0.7522668034874083,0.7555282555282555,0.7538271251724985,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3141, 574], [620, 549]]}"
ir_k_ibl-CNN,CNN,cosine,7,borda,always_retain,1,10,43959,4883,1952.3091039000428,24.56915429997025,1976.878258200013,36.556480407714844,16.22735595703125,20.250823974609375,55.61017971082729,0.7620315379889412,0.672100979731481,0.6698593263150132,0.67095397289991,0.7605043498132067,0.7620315379889412,0.7612515821960417,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3145, 570], [592, 576]]}"
ir_k_ibl-CNN,CNN,cosine,7,borda,always_retain,2,10,43957,4885,1949.7548297000467,24.468041899963282,1974.22287160001,36.55481719970703,16.23724365234375,20.262359619140625,55.581111064962776,0.7516888433981577,0.6608373993441947,0.6637212271801773,0.6622302226143502,0.7539573852955985,0.7516888433981577,0.752791952882763,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3093, 622], [591, 579]]}"
ir_k_ibl-CNN,CNN,cosine,7,borda,always_retain,3,10,43958,4884,2358.6702821000363,24.625688899948727,2383.295970999985,36.55564880371094,16.23394775390625,20.25823974609375,55.59113766226393,0.7542997542997543,0.6601697963201333,0.6559610790804665,0.6579630734581026,0.7511573277814665,0.7542997542997543,0.7526644094089238,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3138, 578], [622, 546]]}"
ir_k_ibl-CNN,CNN,cosine,7,borda,always_retain,4,10,43957,4885,1933.3015026999637,24.45020280004246,1957.7517055000062,36.55481719970703,16.288330078125,20.313446044921875,55.44135814128611,0.7586489252814739,0.6666018939587003,0.6625324240032928,0.6644769231925397,0.7557779262063626,0.7586489252814739,0.7571570195296786,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3147, 569], [610, 559]]}"
ir_k_ibl-CNN,CNN,cosine,7,borda,always_retain,5,10,43958,4884,2322.6857054999564,24.305878500046674,2346.991584000003,36.55564880371094,16.182861328125,20.2071533203125,55.73088740670307,0.752047502047502,0.6565168765251574,0.6515457038795582,0.6538836762442977,0.7482320362203096,0.752047502047502,0.7500472395455529,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3137, 579], [632, 536]]}"
ir_k_ibl-CNN,CNN,cosine,7,borda,always_retain,6,10,43958,4884,1918.9037335999892,24.455164900049567,1943.3588985000388,36.55564880371094,16.2718505859375,20.296142578125,55.48745236800266,0.7571662571662572,0.6649970812181848,0.6618628154189602,0.6633754416421055,0.754906170093201,0.7571662571662572,0.7560020577493552,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3138, 577], [609, 560]]}"
ir_k_ibl-CNN,CNN,cosine,7,borda,always_retain,7,10,43958,4884,2327.4652134999633,24.340507000044454,2351.8057205000077,36.55564880371094,16.2125244140625,20.23681640625,55.649742393802924,0.7626945126945127,0.6704265145169805,0.6620648215049324,0.665882551544802,0.7571788611429406,0.7626945126945127,0.759711717390927,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3177, 539], [620, 548]]}"
ir_k_ibl-CNN,CNN,cosine,7,borda,always_retain,8,10,43958,4884,2303.689598600031,24.361824799969327,2328.0514234,36.22027587890625,16.12853240966797,20.115562438964844,55.470984087504405,0.7596232596232596,0.6673130265050339,0.6621012246191957,0.6645607535421743,0.7560032504813684,0.7596232596232596,0.7577220095016379,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3155, 561], [613, 555]]}"
ir_k_ibl-CNN,CNN,cosine,7,borda,always_retain,9,10,43957,4885,2322.042914999998,24.258068199967965,2346.300983199966,36.55481719970703,16.16473388671875,20.189849853515625,55.779470053407074,0.7502558853633572,0.6555904949289111,0.6528252292047716,0.6541612989334169,0.7480754924934659,0.7502558853633572,0.7491363367835908,"{""labels"": [""<=50K"", "">50K""], ""matrix"": [[3120, 595], [625, 545]]}"
